frame_start,frame_end,frame_time,is_delayed
63780333,93121600333239,93121536552906,True
63780370,93121606867875,93121543087505,True
63778690,93121239823932,93121176045242,True
63780458,93121649351473,93121585571015,True
63781552,93122770366480,93122706584928,True
63780176,93121579908809,93121516128633,True
63778551,93120566712875,93120502934324,True
63781681,93122872999563,93122809217882,True
63780480,93121658649234,93121594868754,True
63782297,93124155926983,93124092144686,True
63781422,93122665562668,93122601781246,True
63781305,93122593839796,93122530058491,True
63779855,93121460413225,93121396633370,True
63780414,93121628510637,93121564730223,True
63780392,93121617585115,93121553804723,True
63778595,93120579703918,93120515925323,True
63780436,93121636304336,93121572523900,True
