frame_start,frame_end,frame_time,is_delayed
73163490,106970791220520,106970718057030,True
73162173,106969532607583,106969459445410,True
73162217,106969554819356,106969481657139,True
73162305,106969599946131,106969526783826,True
73160383,106968509107637,106968435947254,True
73163576,106970891591520,106970818427944,True
73164183,106972046913458,106971973749275,True
73160420,106968520671648,106968447511228,True
73163330,106970612619878,106970539456548,True
73163300,106970591925865,106970518762565,True
73163118,106970419742567,106970346579449,True
73162261,106969577103368,106969503941107,True
73162283,106969589347224,106969516184941,True
73162084,106969517097373,106969443935289,True
73163315,106970601609929,106970528446614,True
73162151,106969521813519,106969448651368,True
73163278,106970580564614,106970507401336,True
73162239,106969566476492,106969493314253,True
73162195,106969543969302,106969470807107,True
73163217,106970566353936,106970493190719,True
73161733,106969468181847,106969395020114,True
73163345,106970698404574,106970625241229,True
73163375,106970703638116,106970630474741,True
73164065,106971911555840,106971838391775,True
73160522,106969226102396,106969152941874,True
73163256,106970575743572,106970502580316,True
