frame_start,frame_end,frame_time,is_delayed
113231796,186077743439930,186077630208134,True
113232296,186077945015939,186077831783643,True
113233281,186078982213334,186078868980053,True
113230480,186076828692703,186076715462223,True
113232057,186077816723999,186077703491942,True
113230597,186077568590641,186077455360044,True
113232169,186077912189321,186077798957152,True
113233251,186078953322654,186078840089403,True
113233088,186078793243628,186078680010540,True
113233334,186079084475792,186078971242458,True
113235332,186082104017812,186081990782480,True
113233512,186079219364816,186079106131304,True
113233221,186078947578383,186078834345162,True
113233266,186078967516979,186078854283713,True
113234183,186080492297079,186080379062896,True
113233296,186079024088078,186078910854782,True
113233311,186079041202142,186078927968831,True
113233161,186078922370099,186078809136938,True
113233405,186079118829338,186079005595933,True
113230524,186076841568486,186076728337962,True
