frame_start,frame_end,frame_time,is_delayed
58767506,85972256995968,85972198228462,True
58767514,85972308428942,85972249661428,True
58767811,85972640783819,85972582016008,True
58764812,85969656687376,85969597922564,True
58767355,85972151917364,85972093150009,True
58766425,85971077392882,85971018626457,True
58767452,85972191385962,85972132618510,True
58767482,85972213976902,85972155209420,True
58767659,85972445803591,85972387035932,True
58769530,85975436934723,85975378165193,True
58765907,85970818789731,85970760023824,True
58767467,85972203680859,85972144913392,True
58767416,85972180925388,85972122157972,True
58764928,85970430802974,85970372038046,True
58768626,85974175929441,85974117160815,True
58767490,85972228587007,85972169819517,True
58764753,85969641988989,85969583224236,True
58767225,85971940051406,85971881284181,True
58767498,85972237256539,85972178489041,True
58766637,85971167454558,85971108687921,True
58767732,85972529370162,85972470602430,True
