frame_start,frame_end,frame_time,is_delayed
202497737,370360758755930,370360556258193,True
202497892,370393930061162,370393727563270,True
202497793,370360837338751,370360634840958,True
202497640,370359145095405,370358942597765,True
202496006,370355304170856,370355101674850,True
202486447,370341304989826,370341102503379,True
202497745,370360771138119,370360568640374,True
202497929,370393926209391,370393723711462,True
202498066,370394047642840,370393845144774,True
202483693,370339368967237,370339166483544,True
202497656,370359168414522,370358965916866,True
202483627,370338697551389,370338495067762,True
202497801,370360848337866,370360645840065,True
202497761,370360794563955,370360592066194,True
202495991,370355293018511,370355090522520,True
202497785,370360827340833,370360624843048,True
202485695,370340026545428,370339824059733,True
202497914,370393914979181,370393712481267,True
202497557,370359088966285,370358886468728,True
202497664,370359179384992,370358976887328,True
202496021,370355316071638,370355113575617,True
202498058,370394035518829,370393833020771,True
202497769,370360804142550,370360601644781,True
202497966,370393946409185,370393743911219,True
202485095,370339692671749,370339490186654,True
202498229,370394292833386,370394090335157,True
202497587,370359100441494,370358897943907,True
202497689,370360689625871,370360487128182,True
202486180,370341080515637,370340878029457,True
202498150,370394180380302,370393977882152,True
202497753,370360782085672,370360579587919,True
202487744,370343870024040,370343667536296,True
202485274,370339858953484,370339656468210,True
202497713,370360726466865,370360523969152,True
202497981,370393958431269,370393755933288,True
202498026,370393991172991,370393788674965,True
202496051,370355340687839,370355138191788,True
202497721,370360737518845,370360535021124,True
202498011,370393980516219,370393778018208,True
202497632,370359134511289,370358932013657,True
202498074,370394079097687,370393876599613,True
202497818,370360936963709,370360734465891,True
202498975,370395791956868,370395589457893,True
202497572,370359098718161,370358896220589,True
202497809,370360932080062,370360729582253,True
202495946,370355259551320,370355057055374,True
202497944,370393935261058,370393732763114,True
202486311,370341180924188,370340978437877,True
202497705,370360714845509,370360512347804,True
202498034,370394002256586,370393799758552,True
202498050,370394024654609,370393822156559,True
202497617,370359123055247,370358920557630,True
202497681,370360679238735,370360476741054,True
202497899,370393903862357,370393701364458,True
202495976,370355287068354,370355084572378,True
202496175,370355471587383,370355269091208,True
202497697,370360704227540,370360501729843,True
202486547,370341396056241,370341193569694,True
202487450,370343445512643,370343243025193,True
202496805,370356684520525,370356482023720,True
202497729,370360748881294,370360546383565,True
202496066,370355371090602,370355168594536,True
202497777,370360815460884,370360612963107,True
202497996,370393968738822,370393766240826,True
202486661,370341562873914,370341360387253,True
202497648,370359157197177,370358954699529,True
202497602,370359111904985,370358909407383,True
202497877,370393893245898,370393690748021,True
202496036,370355326767733,370355124271697,True
202483568,370338685067534,370338482583966,True
202498042,370394013402993,370393810904951,True
202496096,370355381981384,370355179485288,True
202484796,370339576203091,370339373718295,True
202495961,370355270799863,370355068303902,True
