frame_start,frame_end,frame_time,is_delayed
196716617,361914287532155,361914090815538,True
196713322,361911689572469,361911492859147,True
196715270,361912941335511,361912744620241,True
196715329,361912966578794,361912769863465,True
196716415,361914133985525,361913937269110,True
196716430,361914147910839,361913951194409,True
196716385,361914112177919,361913915461534,True
196719323,361918966211319,361918769491996,True
196715224,361912907941445,361912711226221,True
196714725,361912689311631,361912492596906,True
196716219,361914033870151,361913837153932,True
196715046,361912876503577,361912679788531,True
196715255,361912924478165,361912727762910,True
196713278,361911677601374,361911480888096,True
196715977,361913626710214,361913429994237,True
196713388,361912474779318,361912278065930,True
196716445,361914154307507,361913957591062,True
196717419,361915882951272,361915686233853,True
196716304,361914095112501,361913898396197,True
196716400,361914123461722,361913926745322,True
196716370,361914100912137,361913904195767,True
196715307,361912955293845,361912758578538,True
196716460,361914174459019,361913977742559,True
