frame_start,frame_end,frame_time,is_delayed
83534474,121584977917416,121584894382942,True
83544046,121598891609375,121598808065329,True
83543971,121598835931348,121598752387377,True
83534229,121584758759217,121584675224988,True
83543956,121598825024785,121598741480829,True
83534371,121584868387822,121584784853451,True
83533077,121583665923535,121583582390458,True
83531399,121582676240832,121582592709433,True
83532741,121583608505925,121583524973184,True
83535228,121586726430142,121586642894914,True
83531458,121582693160938,121582609629480,True
83533196,121583716312811,121583632779615,True
83534111,121584685291033,121584601756922,True
83544076,121598916090731,121598832546655,True
83544091,121598962915736,121598879371645,True
83544061,121598910957450,121598827413389,True
83544031,121598880409270,121598796865239,True
83544617,121600231669040,121600148124423,True
83533264,121583772639275,121583689106011,True
83535122,121586576914658,121586493379536,True
83543986,121598846986350,121598763442364,True
83533159,121583686657287,121583603124128,True
83544001,121598858283955,121598774739954,True
83533233,121583749187606,121583665654373,True
83544016,121598873799738,121598790255722,True
83544178,121599069587049,121598986042871,True
83531553,121583379640225,121583296108672,True
