frame_start,frame_end,frame_time,is_delayed
82429171,120014174907964,120014092478793,True
82429367,120014442220491,120014359791124,True
82429391,120014476265598,120014393836207,True
82430274,120015877412040,120015794981766,True
82430412,120016101209510,120016018779098,True
82429423,120014520262634,120014437833211,True
82424407,120001536513684,120001454089277,True
82429320,120014385785694,120014303356374,True
82430387,120016066734767,120015984304380,True
82427454,120003214726143,120003132298689,True
82429290,120014364317723,120014281888433,True
82428642,120007897901401,120007815472759,True
82429259,120014347478450,120014265049191,True
82429305,120014375109859,120014292680554,True
82429439,120014542925813,120014460496374,True
82429455,120014563866961,120014481437506,True
82429599,120014765158492,120014682728893,True
82429431,120014531205343,120014448775912,True
82430564,120016312022344,120016229591780,True
82429615,120014786962817,120014704533202,True
82427158,120002968748723,120002886321565,True
82429495,120014619785665,120014537356170,True
82429179,120014186207080,120014103777901,True
82429519,120014654031397,120014571601878,True
82429235,120014263659275,120014181230040,True
82429219,120014241468440,120014159039221,True
82430404,120016089640967,120016007210563,True
82428929,120008936199734,120008853770805,True
82429099,120014074437694,120013992008595,True
82430460,120016167206027,120016084775567,True
82429575,120014731037030,120014648607455,True
82430396,120016078212060,120015995781664,True
82428036,120004492072625,120004409644589,True
82429123,120014108233739,120014025804616,True
82429083,120014047716806,120013965287723,True
82430362,120016000672834,120015918242472,True
82427043,120002779909225,120002697482182,True
82430556,120016300533332,120016218102776,True
82429275,120014352626315,120014270197040,True
82429447,120014553312221,120014470882774,True
82430282,120015889024489,120015806594207,True
82429399,120014486773829,120014404344430,True
82429463,120014575498629,120014493069166,True
82430452,120016156199724,120016073769272,True
82425566,120001872267989,120001789842423,True
82430298,120015910361314,120015827931016,True
82426344,120002191801041,120002109374697,True
82429415,120014508171383,120014425741968,True
82430266,120015864555737,120015782125471,True
82430444,120016145315765,120016062885321,True
82430572,120016323304428,120016240873856,True
82429203,120014218959375,120014136530172,True
82429527,120014663978638,120014581549111,True
82429631,120014809630111,120014727200480,True
82427634,120003459369761,120003376942127,True
82427547,120003337126937,120003254699390,True
82429211,120014231815782,120014149386571,True
82429623,120014797847714,120014715418091,True
82434701,120021986347388,120021903912687,True
82429383,120014464256639,120014381827256,True
82429375,120014452742211,120014370312836,True
82428760,120008254190187,120008171761427,True
82429343,120014409461685,120014327032342,True
82429639,120014820864904,120014738435265,True
82430250,120015844749693,120015762319443,True
82428027,120004294172032,120004211744005,True
82430468,120016177951549,120016095521081,True
82429091,120014064053891,120013981624800,True
82430370,120016033736222,120015951305852,True
82429147,120014141285096,120014058855949,True
82429107,120014087083060,120014004653953,True
82430258,120015854338496,120015771908238,True
82430290,120015900244803,120015817814513,True
82429543,120014687167599,120014604738056,True
82430548,120016289728383,120016207297835,True
82424312,120000864818617,120000782394305,True
82428988,120009032560577,120008950131589,True
82429131,120014119090094,120014036660963,True
82426943,120002657973536,120002575546593,True
82430330,120015956073298,120015873642968,True
82430314,120015933099077,120015850668763,True
82430508,120016234284628,120016151854120,True
82429251,120014286335788,120014203906537,True
82430588,120016345584587,120016263153999,True
82429559,120014709443017,120014627013458,True
82430516,120016245441191,120016163010675,True
82430492,120016211956865,120016129526373,True
82428819,120008366399521,120008283970702,True
82429583,120014742740208,120014660310625,True
82429155,120014152164837,120014069735682,True
82429359,120014430663927,120014348234568,True
82430540,120016278625101,120016196194561,True
82430532,120016267401454,120016184970922,True
82424268,120000852286168,120000769861900,True
82430580,120016334275888,120016251845308,True
82429503,120014630754312,120014548324809,True
82429551,120014698257495,120014615827944,True
82427281,120003081023422,120002998596141,True
82428204,120005282787078,120005200358874,True
82429407,120014497438673,120014415009266,True
82430500,120016223014106,120016140583606,True
82426037,120002097795876,120002015369839,True
82429351,120014419028561,120014336599210,True
82430346,120015978322883,120015895892537,True
82429187,120014197015675,120014114586488,True
82430484,120016200867281,120016118436797,True
82428145,120005172182536,120005089754391,True
82429075,120014036422950,120013953993875,True
82430322,120015945345849,120015862915527,True
82429139,120014130452231,120014048023092,True
82430524,120016256633015,120016174202491,True
82428583,120007775628889,120007693200306,True
82429163,120014163214682,120014080785519,True
82429607,120014775388805,120014692959198,True
82429487,120014608429153,120014525999666,True
82430306,120015921768399,120015839338093,True
82430436,120016134041857,120016051611421,True
82426696,120002358104495,120002275677799,True
82429471,120014587517276,120014505087805,True
82428263,120005406314799,120005323886536,True
82430476,120016189687227,120016107256751,True
82429479,120014598066861,120014515637382,True
82428465,120007510071102,120007427642637,True
82430420,120016111573470,120016029143050,True
82429115,120014096522436,120014014093321,True
82429535,120014675551868,120014593122333,True
82427727,120003590912951,120003508485224,True
82430379,120016043724765,120015961294386,True
82429567,120014720682498,120014638252931,True
82429591,120014753426043,120014670996452,True
82428701,120008099215119,120008016786418,True
82430354,120015989437260,120015907006906,True
82429243,120014274735474,120014192306231,True
82429227,120014252863753,120014170434526,True
82429195,120014208444374,120014126015179,True
82430428,120016122926440,120016040496012,True
82429335,120014396967622,120014314538287,True
82429511,120014642444157,120014560014646,True
82428524,120007665211222,120007582782698,True
82430338,120015967534705,120015885104367,True
