device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,14648.0,4440.0,12811.166868198306,15.176207150340002,15.178224164387666,0.056881580894800485
pixel5g,com-chrome-canary,1,100.0,4169000.0,14648.0,4440.0,12007.622764227643,6.953637033480001,6.952978419062636,0.053313845073170746
pixel5g,com-chrome-canary,2,100.0,4169000.0,14648.0,4440.0,11816.256740442655,14.031056149860001,14.015543346749457,0.0524641799275654
pixel5g,com-chrome-canary,3,100.0,4169000.0,14648.0,4440.0,12558.737745098038,7.283932116660001,7.27856816972353,0.055760795588235296
pixel5g,com-chrome-canary,4,100.0,4169000.0,14648.0,4440.0,12496.6873747495,14.822660650740001,14.825115154487374,0.05548529194388777
pixel5g,com-chrome-canary,5,100.0,4169000.0,14648.0,4440.0,12473.982954545454,7.233648359640001,7.231330579487729,0.055384484318181826
pixel5g,com-chrome-canary,6,100.0,4169000.0,14648.0,4440.0,12687.969526864475,15.0545367936,15.05344605041764,0.05633458469927827
pixel5g,com-chrome-canary,7,100.0,4169000.0,14648.0,4440.0,12298.10737704918,7.120919343720002,7.114848657059017,0.054603596754098364
pixel5g,com-chrome-canary,8,100.0,4169000.0,14648.0,4440.0,13126.900893582453,7.604103036360001,7.602841610001299,0.05828343996750609
pixel5g,com-chrome-canary,9,100.0,4169000.0,14648.0,4440.0,12222.73051948052,7.08877241616,7.084645157002206,0.0542689235064935
