frame_start,frame_end,frame_time,is_delayed
191893325,354651107468812,354650915575487,True
191894990,354652252986218,354652061091228,True
191895266,354652332244038,354652140348772,True
191895961,354653281662206,354653089766245,True
191895244,354652324257371,354652132362127,True
191899136,354657959140224,354657767241088,True
191893384,354651122798241,354650930904857,True
191896064,354653368609038,354653176712974,True
191897102,354655048002642,354654856105540,True
191896330,354653587579372,354653395683042,True
191894714,354652055808386,354651863913672,True
191895288,354652341336644,354652149441356,True
191893450,354651867177013,354651675283563,True
191895197,354652316949506,354652125054309,True
191896216,354653484178528,354653292282312,True
