frame_start,frame_end,frame_time,is_delayed
194173315,358256884641977,358256690468662,True
194172550,358256059442311,358255865269761,True
194176447,358261515129000,358261320952553,True
194173595,358257201142581,358257006968986,True
194172528,358256048589602,358255854417074,True
194170637,358254822298438,358254628127801,True
194172572,358256066861218,358255872688646,True
194170732,358255610554193,358255416383461,True
194170600,358254809696562,358254615525962,True
194172489,358256041759966,358255847587477,True
194172013,358255803438067,358255609266054,True
194174414,358258396714627,358258202540213,True
194172594,358256078669032,358255884496438,True
194172304,358255996093971,358255801921667,True
194173817,358257393818902,358257199645085,True
194173463,358257091045799,358256896872336,True
194173724,358257291129048,358257096955324,True
