frame_start,frame_end,frame_time,is_delayed
183783175,343027750501268,343027566718093,True
183785084,343030651026661,343030467241577,True
183780518,343024976175835,343024792395317,True
183780883,343025172286845,343024988505962,True
183782319,343026386635924,343026202853605,True
183782463,343026483190309,343026299407846,True
183782584,343026601458810,343026417676226,True
183781160,343025249345759,343025065564599,True
183779436,343024179085912,343023995306476,True
183779553,343024724208362,343024540428809,True
183781244,343025272578938,343025088797694,True
183782180,343026280065601,343026096283421,True
183779480,343024191968778,343024008189298,True
