frame_start,frame_end,frame_time,is_delayed
188823355,350145428858240,350145240034885,True
188823650,350145782648848,350145593825198,True
188824630,350148689089346,350148500264716,True
188820574,350142599807177,350142410986603,True
188823181,350145265179109,350145076355928,True
188821816,350143604628527,350143415806711,True
188820530,350142586680509,350142397859979,True
188820683,350143296647194,350143107826511,True
188822474,350143954737781,350143765915307,True
188822257,350143765495001,350143576672744,True
188823499,350145573350234,350145384526735,True
188824383,350148312172642,350148123348259,True
188823571,350145672653889,350145483830318,True
