frame_start,frame_end,frame_time,is_delayed
57245860,83766074630406,83766017384546,True
57246638,83767193511559,83767136264921,True
57247329,83768247909425,83768190662096,True
57245837,83766049856966,83765992611129,True
57244735,83764914361020,83764857116285,True
57244152,83764718796625,83764661552473,True
57244833,83764948212169,83764890967336,True
57245717,83766008778577,83765951532860,True
57245807,83766034912277,83765977666470,True
57244803,83764926334667,83764869089864,True
57244533,83764862993411,83764805748878,True
57243040,83764451585297,83764394342257,True
57245899,83766137981454,83766080735555,True
57245868,83766117718640,83766060472772,True
57245884,83766133018381,83766075772497,True
57245785,83766016197640,83765958951855,True
57245586,83765804182359,83765746936773,True
57242930,83763829588672,83763772345742,True
57246107,83766327469025,83766270222918,True
57245852,83766060871134,83766003625282,True
57244818,83764936155033,83764878910215,True
57245822,83766038911444,83765981665622,True
57245985,83766214350056,83766157104071,True
57242974,83763842673778,83763785430804,True
