frame_start,frame_end,frame_time,is_delayed
80321463,117060568478725,117060488157262,True
80321448,117060557469922,117060477148474,True
80332746,117075884707178,117075804374432,True
80321418,117060535107680,117060454786262,True
80332577,117075722725183,117075642392606,True
80322517,117061643112686,117061562790169,True
80322547,117061659967167,117061579644620,True
80319597,117059462159084,117059381839487,True
80323965,117063867186866,117063786862901,True
80321403,117060524792783,117060444471380,True
80332562,117075706634296,117075626301734,True
80332502,117075662375802,117075582043300,True
80333319,117077012961613,117076932628294,True
80322472,117061586240649,117061505918177,True
80321254,117060471551476,117060391230222,True
80332592,117075729069089,117075648736497,True
80322259,117061366806617,117061286484358,True
80322487,117061595811067,117061515488580,True
80332622,117075751826696,117075671494074,True
80320978,117060415736887,117060335415909,True
80323384,117063068286526,117062987963142,True
80332659,117075785877897,117075705545238,True
80322562,117061676803315,117061596480753,True
80332547,117075695660076,117075615327529,True
80321336,117060519959345,117060439638009,True
80332674,117075799623211,117075719290537,True
80322532,117061650816333,117061570493801,True
80322762,117061848427290,117061768104528,True
80319670,117060235523484,117060155203814,True
80321478,117060579481434,117060499159956,True
80332637,117075782777168,117075702444531,True
80321433,117060548468567,117060468147134,True
80322648,117061743792488,117061663469840,True
80332532,117075684409241,117075604076709,True
80322457,117061570749554,117061490427097,True
80322502,117061604763307,117061524440805,True
80322374,117061550386271,117061470063897,True
80319553,117059450617416,117059370297863,True
80332517,117075673150490,117075592817973,True
80322420,117061560834084,117061480511664,True
80332607,117075740054143,117075659721536,True
