frame_start,frame_end,frame_time,is_delayed
70464485,103164232721001,103164162256516,True
70464761,103164295153872,103164224689111,True
70464783,103164306485019,103164236020236,True
70466633,103166749999533,103166679532900,True
70465898,103165439889924,103165369424026,True
70466012,103165553000925,103165482534913,True
70465763,103165348425175,103165277959412,True
70463045,103163871209767,103163800746722,True
70464149,103164102992759,103164032528610,True
70464672,103164276091527,103164205626855,True
70464798,103164319719083,103164249254285,True
70462950,103163260332311,103163189869361,True
70466672,103166821910895,103166751444223,True
70462906,103163248880903,103163178417997,True
70464739,103164285986736,103164215521997,True
70465653,103165246779175,103165176313522,True
