frame_start,frame_end,frame_time,is_delayed
91683869,153681855748572,153681764064703,True
91681206,153679874825250,153679783144044,True
91684118,153682078567449,153681986883331,True
91683036,153680960720619,153680869037583,True
91684225,153682175477146,153682083792921,True
91682802,153680916244312,153680824561510,True
91682406,153680766157162,153680674474756,True
91681169,153679861121759,153679769440590,True
91683051,153680972560672,153680880877621,True
91684863,153683402686122,153683311001259,True
91686034,153685142835462,153685051149428,True
91683005,153680952700045,153680861017040,True
91683066,153680983885361,153680892202295,True
91683096,153681006145311,153680914462215,True
91681294,153680485780936,153680394099642,True
91683081,153680995186508,153680903503427,True
91683986,153681956923114,153681865239128,True
