frame_start,frame_end,frame_time,is_delayed
195499473,360153620990354,360153425490881,True
195499863,360154197146245,360154001646382,True
195498693,360152408195754,360152212697061,True
195495770,360150098208858,360149902713088,True
195497354,360151104804999,360150909307645,True
195495880,360150765933664,360150570437784,True
195498374,360152157448959,360151961950585,True
195501255,360156439987250,360156244485995,True
195497496,360151212583604,360151017086108,True
195495814,360150111097817,360149915602003,True
195497596,360151243046159,360151047548563,True
195498498,360152268878605,360152073380107,True
195499378,360153501102790,360153305603412,True
195497003,360151013443949,360150817946946,True
