device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g,com-chrome-canary,0,100.0,4169000.0,2136.0,4442.0,12393.480442176871,7.318947110556,7.303507421910439,0.05505184012414966
pixel5g,com-chrome-canary,1,100.0,4169000.0,2136.0,4442.0,11865.440511727078,6.969459376810001,6.970511835669883,0.05270628675309169
pixel5g,com-chrome-canary,2,100.0,4169000.0,2136.0,4442.0,12206.79262086514,7.170639606792999,7.181779770258396,0.054222572821882954
pixel5g,com-chrome-canary,3,100.0,4169000.0,2136.0,4442.0,11572.695652173914,6.7950734240870005,6.80773660844974,0.05140591408695652
pixel5g,com-chrome-canary,4,100.0,4169000.0,2136.0,4442.0,12415.548744146445,7.2831274089,7.3066956481882945,0.05514986752149851
pixel5g,com-chrome-canary,5,100.0,4169000.0,2136.0,4442.0,12425.018691588784,7.300518929411001,7.309674802166299,0.055191933028037383
pixel5g,com-chrome-canary,6,100.0,4169000.0,2136.0,4442.0,10924.507437314067,6.4017432858220005,6.44249670529633,0.04852666203654909
pixel5g,com-chrome-canary,7,100.0,4169000.0,2136.0,4442.0,12035.317677198975,7.083123251721,7.08597248833111,0.05346088112211785
pixel5g,com-chrome-canary,8,100.0,4169000.0,2136.0,4442.0,11401.056451612903,6.657223905266999,6.70656581547221,0.05064349275806452
pixel5g,com-chrome-canary,9,100.0,4169000.0,2136.0,4442.0,11560.703144654088,6.839172043166001,6.856245474065678,0.051352643368553455
