frame_start,frame_end,frame_time,is_delayed
61695768,90062659490953,90062597795185,True
61698824,90064977608892,90064915910068,True
61699595,90066397202471,90066335502876,True
61697742,90063862237791,90063800540049,True
61697727,90063850973415,90063789275688,True
61698686,90064865252110,90064803553424,True
61697712,90063839503049,90063777805337,True
61700039,90067060087068,90066998387029,True
61697682,90063818699662,90063757001980,True
61695907,90063388305557,90063326609650,True
61697551,90063795268358,90063733570807,True
61697140,90063676509596,90063614812456,True
61697757,90063874319511,90063812621754,True
61697772,90063884451231,90063822753459,True
61697697,90063829887111,90063768189414,True
61698548,90064758470693,90064696772145,True
61695812,90062672641631,90062610945819,True
61697667,90063814701797,90063753004130,True
