frame_start,frame_end,frame_time,is_delayed
78317551,114239769157302,114239690839751,True
78317451,114239626942705,114239548625254,True
78318045,114240707446354,114240629128309,True
78317703,114240013892379,114239935574676,True
78317082,114239277484701,114239199167619,True
78317199,114239374285440,114239295968241,True
78316188,114238393473415,114238315157227,True
78316801,114238887552996,114238809236195,True
78317364,114239512129412,114239433812048,True
78314284,114237095838546,114237017524262,True
78315464,114238086324947,114238008009483,True
78318118,114241191721402,114241113403284,True
78314379,114237727182203,114237648867824,True
78318779,114245236992587,114245158673808,True
78315881,114238301724760,114238223408879,True
78316915,114239013100769,114238934783854,True
78318053,114241024676125,114240946358072,True
78317762,114240123304369,114240044986607,True
78314240,114237082730524,114237004416284,True
