frame_start,frame_end,frame_time,is_delayed
185771856,345858768070217,345858582298361,True
185774533,345860831333964,345860645559431,True
185773559,345859869558295,345859683784736,True
185774663,345860913718087,345860727943424,True
185771995,345859375612621,345859189840626,True
185776483,345863937531669,345863751755186,True
185774843,345861050467111,345860864692268,True
185771900,345858779415791,345858593643891,True
185773312,345859749712138,345859563938826,True
185775617,345862456742876,345862270967259,True
185773021,345859579986756,345859394213735,True
