frame_start,frame_end,frame_time,is_delayed
108538187,179430158786090,179430050247903,True
108538172,179430151337756,179430042799584,True
108541790,179435658372732,179435549830942,True
108535355,179427844129349,179427735593994,True
108538242,179430220348805,179430111810563,True
108538366,179430384039602,179430275501236,True
108535296,179427822731899,179427714196603,True
108537999,179429989904198,179429881366199,True
108538250,179430233447764,179430124909514,True
108538202,179430171594321,179430063056119,True
108538258,179430290668030,179430182129772,True
108538226,179430203001303,179430094463077,True
108536660,179428892561954,179428784025294,True
108538066,179430115473690,179430006935624,True
108538210,179430176492759,179430067954549,True
108538234,179430209239429,179430100701195,True
108538438,179430479447320,179430370908882,True
108537056,179429082888900,179428974351844,True
108535443,179428621712916,179428513177473,True
108538128,179430125499056,179430016960928,True
108538218,179430187342708,179430078804490,True
108539207,179431903729233,179431795190026,True
108537269,179429184586566,179429076049297,True
108538150,179430132435150,179430023897000,True
